age,state,n
26,MD,716
26,OK,420
26,TN,831
26,WV,155
26,AZ,822
26,CO,715
26,ID,166
26,MT,84
26,NV,350
26,NM,203
26,UT,469
26,WY,60
26,CA,4932
26,OR,486
26,WA,888
26,AK,90
26,HI,176
27,CT,418
27,ME,109
27,MA,915
27,NH,148
27,RI,126
27,VT,59
27,DE,90
27,NJ,930
27,NY,2490
27,PA,1415
27,IL,1517
27,IN,788
27,MI,1066
27,OH,1338
27,WI,532
27,IA,394
27,KS,357
27,MN,539
27,MO,732
27,NE,209
27,ND,87
27,SD,115
27,VA,1035
27,AL,475
27,AR,361
27,FL,2132
27,GA,1260
27,LA,510
27,MS,366
27,NC,1112
27,SC,557
27,TX,3382
27,KY,502
27,MD,668
27,OK,484
27,TN,797
27,WV,169
27,AZ,800
27,CO,720
27,ID,192
27,MT,123
27,NV,323
27,NM,198
27,UT,420
27,WY,66
27,CA,5142
27,OR,492
27,WA,931
27,AK,100
27,HI,183
28,CT,405
28,ME,130
28,MA,917
28,NH,153
28,RI,126
28,VT,63
28,DE,110
28,NJ,1044
28,NY,2536
28,PA,1414
28,IL,1610
28,IN,863
28,MI,1129
28,OH,1447
28,WI,652
28,IA,364
28,KS,303
28,MN,572
28,MO,752
28,NE,238
28,ND,98
28,SD,88
28,VA,968
28,AL,552
28,AR,362
28,FL,2146
28,GA,1269
28,LA,521
28,MS,296
28,NC,1193
28,SC,552
28,TX,3310
28,KY,584
28,MD,710
28,OK,468
28,TN,837
28,WV,177
28,AZ,812
28,CO,767
28,ID,210
28,MT,98
28,NV,372
28,NM,222
28,UT,418
28,WY,70
28,CA,5134
28,OR,497
28,WA,1033
28,AK,94
28,HI,156
29,CT,415
29,ME,115
29,MA,881
29,NH,181
29,RI,132
29,VT,65
29,DE,105
29,NJ,1042
29,NY,2619
29,PA,1523
29,IL,1612
29,IN,799
29,MI,1187
29,OH,1368
29,WI,625
29,IA,345
29,KS,354
29,MN,596
29,MO,732
29,NE,217
29,ND,89
29,SD,91
29,VA,1096
29,AL,578
29,AR,342
29,FL,2262
29,GA,1286
29,LA,528
29,MS,307
29,NC,1217
29,SC,610
29,TX,3342
29,KY,527
29,MD,683
29,OK,451
29,TN,812
29,WV,175
29,AZ,873
29,CO,753
29,ID,184
29,MT,94
29,NV,367
29,NM,260
29,UT,420
29,WY,60
29,CA,5357
29,OR,525
29,WA,957
29,AK,106
29,HI,179
30,CT,368
30,ME,142
30,MA,879
30,NH,146
30,RI,132
30,VT,82
30,DE,88
30,NJ,993
30,NY,2540
30,PA,1396
30,IL,1512
30,IN,804
30,MI,1086
30,OH,1367
30,WI,635
30,IA,384
30,KS,336
30,MN,629
30,MO,702
30,NE,206
30,ND,123
30,SD,119
30,VA,953
30,AL,560
30,AR,323
30,FL,2220
30,GA,1276
30,LA,548
30,MS,344
30,NC,1225
30,SC,566
30,TX,3366
30,KY,549
30,MD,675
30,OK,458
30,TN,821
30,WV,173
30,AZ,846
30,CO,712
30,ID,198
30,MT,109
30,NV,373
30,NM,198
30,UT,401
30,WY,71
30,CA,5141
30,OR,489
30,WA,980
30,AK,91
30,HI,161
31,CT,385
31,ME,127
31,MA,983
31,NH,138
31,RI,98
31,VT,71
31,DE,92
31,NJ,1031
31,NY,2808
31,PA,1521
31,IL,1599
31,IN,791
31,MI,1159
31,OH,1393
31,WI,634
31,IA,355
31,KS,324
31,MN,605
31,MO,709
31,NE,225
31,ND,98
31,SD,110
31,VA,1104
31,AL,571
31,AR,342
31,FL,2367
31,GA,1268
31,LA,548
31,MS,273
31,NC,1225
31,SC,574
31,TX,3509
31,KY,503
31,MD,728
31,OK,489
31,TN,850
31,WV,200
31,AZ,876
31,CO,796
31,ID,180
31,MT,128
31,NV,396
31,NM,231
31,UT,413
31,WY,71
31,CA,5334
31,OR,552
31,WA,1059
31,AK,99
31,HI,161
32,CT,404
32,ME,129
32,MA,912
32,NH,167
32,RI,129
32,VT,56
32,DE,106
32,NJ,1048
32,NY,2504
32,PA,1416
32,IL,1477
32,IN,765
32,MI,1092
32,OH,1373
32,WI,663
32,IA,337
32,KS,316
32,MN,617
32,MO,740
32,NE,231
32,ND,84
32,SD,114
32,VA,1044
32,AL,530
