age,state,n
57,NY,2945
57,PA,2004
57,IL,1934
57,IN,1043
57,MI,1579
57,OH,1751
57,WI,962
57,IA,504
57,KS,410
57,MN,905
57,MO,934
57,NE,286
57,ND,155
57,SD,134
57,VA,1254
57,AL,690
57,AR,435
57,FL,3139
57,GA,1435
57,LA,590
57,MS,392
57,NC,1540
57,SC,691
57,TX,3732
57,KY,655
57,MD,894
57,OK,536
57,TN,984
57,WV,300
57,AZ,929
57,CO,771
57,ID,207
57,MT,156
57,NV,391
57,NM,299
57,UT,353
57,WY,104
57,CA,5266
57,OR,587
57,WA,1081
57,AK,94
57,HI,212
58,CT,547
58,ME,227
58,MA,1125
58,NH,270
58,RI,150
58,VT,94
58,DE,147
58,NJ,1363
58,NY,3006
58,PA,2087
58,IL,1918
58,IN,1023
58,MI,1584
58,OH,1910
58,WI,1005
58,IA,483
58,KS,433
58,MN,934
58,MO,925
58,NE,296
58,ND,127
58,SD,121
58,VA,1270
58,AL,737
58,AR,417
58,FL,3150
58,GA,1505
58,LA,688
58,MS,432
58,NC,1503
58,SC,713
58,TX,3598
58,KY,664
58,MD,931
58,OK,536
58,TN,960
58,WV,286
58,AZ,970
58,CO,781
58,ID,218
58,MT,158
58,NV,426
58,NM,294
58,UT,322
58,WY,90
58,CA,5243
58,OR,593
58,WA,1122
58,AK,87
58,HI,223
59,CT,577
59,ME,230
59,MA,1037
59,NH,225
59,RI,180
59,VT,104
59,DE,135
59,NJ,1448
59,NY,2946
59,PA,2080
59,IL,1943
59,IN,1022
59,MI,1590
59,OH,1862
59,WI,997
59,IA,481
59,KS,451
59,MN,993
59,MO,975
59,NE,292
59,ND,124
59,SD,138
59,VA,1278
59,AL,724
59,AR,432
59,FL,3120
59,GA,1481
59,LA,661
59,MS,414
59,NC,1467
59,SC,735
59,TX,3801
59,KY,677
59,MD,907
59,OK,514
59,TN,994
59,WV,287
59,AZ,981
59,CO,770
59,ID,266
59,MT,196
59,NV,389
59,NM,293
59,UT,348
59,WY,87
59,CA,5237
59,OR,594
59,WA,1115
59,AK,87
59,HI,202
60,CT,570
60,ME,224
60,MA,1021
60,NH,237
60,RI,151
60,VT,109
60,DE,136
60,NJ,1351
60,NY,2974
60,PA,2088
60,IL,1853
60,IN,984
60,MI,1648
60,OH,1882
60,WI,1034
60,IA,515
60,KS,463
60,MN,949
60,MO,970
60,NE,283
60,ND,138
60,SD,117
60,VA,1241
60,AL,741
60,AR,445
60,FL,3149
60,GA,1437
60,LA,653
60,MS,486
60,NC,1456
60,SC,756
60,TX,3700
60,KY,697
60,MD,897
60,OK,504
60,TN,1010
60,WV,287
60,AZ,988
60,CO,794
60,ID,240
60,MT,194
60,NV,399
60,NM,259
60,UT,354
60,WY,73
60,CA,5259
60,OR,572
60,WA,1043
60,AK,72
60,HI,195
61,CT,572
61,ME,222
61,MA,1022
61,NH,268
61,RI,170
61,VT,121
61,DE,147
61,NJ,1369
61,NY,3043
61,PA,2031
61,IL,1905
61,IN,973
61,MI,1723
61,OH,1876
61,WI,955
61,IA,508
61,KS,476
61,MN,929
61,MO,960
61,NE,318
61,ND,133
61,SD,123
61,VA,1292
61,AL,802
61,AR,475
61,FL,3235
61,GA,1458
61,LA,684
61,MS,479
61,NC,1506
61,SC,816
61,TX,3691
61,KY,678
61,MD,889
61,OK,521
61,TN,955
61,WV,268
61,AZ,972
61,CO,836
61,ID,236
61,MT,199
61,NV,406
61,NM,341
61,UT,361
61,WY,114
61,CA,5375
61,OR,623
61,WA,1129
61,AK,96
61,HI,201
62,CT,590
62,ME,227
62,MA,987
62,NH,227
62,RI,185
62,VT,94
62,DE,139
62,NJ,1361
62,NY,2914
62,PA,2087
62,IL,1943
62,IN,1036
62,MI,1682
62,OH,1920
62,WI,1026
62,IA,502
62,KS,451
62,MN,888
62,MO,907
62,NE,310
62,ND,122
62,SD,135
62,VA,1259
62,AL,753
62,AR,474
62,FL,3150
62,GA,1491
62,LA,671
62,MS,495
62,NC,1439
62,SC,723
62,TX,3571
62,KY,723
62,MD,846
62,OK,537
62,TN,1035
62,WV,300
62,AZ,986
62,CO,813
62,ID,238
62,MT,175
62,NV,388
62,NM,313
62,UT,343
62,WY,95
62,CA,5129
62,OR,590
62,WA,1150
62,AK,92
62,HI,227
63,CT,619
63,ME,215
63,MA,1041
63,NH,224
63,RI,171
63,VT,133
63,DE,131
63,NJ,1333
63,NY,2769
63,PA,2066
63,IL,1832
63,IN,1042
63,MI,1616
63,OH,1875
63,WI,936
63,IA,502
63,KS,447
63,MN,840
63,MO,1013
63,NE,276
63,ND,103
63,SD,153
63,VA,1211
63,AL,771
63,AR,470
63,FL,3100
63,GA,1421
63,LA,665
63,MS,464
63,NC,1559
63,SC,720
63,TX,3610
63,KY,652
63,MD,892
63,OK,538
63,TN,913
63,WV,302
63,AZ,983
63,CO,820
63,ID,228
63,MT,205
63,NV,462
63,NM,317
63,UT,322
63,WY,109
63,CA,5113
63,OR,561
63,WA,1077
63,AK,90
63,HI,214
64,CT,565
64,ME,246
64,MA,1048
64,NH,227
64,RI,140
64,VT,150
64,DE,147
64,NJ,1283
64,NY,2838
64,PA,2026
64,IL,1769
64,IN,991
64,MI,1598
64,OH,1796
64,WI,1026
64,IA,512
64,KS,401
64,MN,908
64,MO,936
64,NE,280
64,ND,128
64,SD,153
64,VA,1223
64,AL,699
64,AR,435
64,FL,3049
64,GA,1404
64,LA,673
64,MS,458
64,NC,1464
64,SC,745
64,TX,3498
64,KY,664
64,MD,893
64,OK,509
64,TN,1034
64,WV,274
64,AZ,966
64,CO,757
64,ID,269
64,MT,180
64,NV,443
64,NM,293
64,UT,353
64,WY,81
64,CA,4975
64,OR,624
64,WA,1121
64,AK,74
64,HI,209
65,CT,521
65,ME,253
65,MA,949
65,NH,203
65,RI,167
65,VT,114
65,DE,159
65,NJ,1199
65,NY,2680
65,PA,2043
65,IL,1810
65,IN,945
65,MI,1552
65,OH,1716
65,WI,963
65,IA,462
65,KS,442
65,MN,834
65,MO,949
65,NE,261
65,ND,107
65,SD,118
65,VA,1122
65,AL,720
65,AR,386
65,FL,3141
65,GA,1385
65,LA,653
65,MS,450
65,NC,1533
65,SC,734
65,TX,3321
65,KY,659
65,MD,855
65,OK,461
65,TN,1002
65,WV,298
65,AZ,1005
65,CO,758
65,ID,220
65,MT,171
65,NV,397
65,NM,270
65,UT,338
65,WY,99
65,CA,4734
65,OR,645
65,WA,1069
65,AK,89
65,HI,175
66,CT,522
66,ME,256
66,MA,954
66,NH,230
66,RI,161
66,VT,128
66,DE,168
66,NJ,1294
66,NY,2644
66,PA,1936
66,IL,1655
66,IN,911
66,MI,1521
66,OH,1695
66,WI,895
66,IA,478
66,KS,423
66,MN,814
66,MO,890
66,NE,300
66,ND,142
66,SD,144
66,VA,1118
66,AL,682
66,AR,442
66,FL,3182
66,GA,1280
66,LA,652
66,MS,438
66,NC,1427
66,SC,761
66,TX,3359
66,KY,610
66,MD,837
66,OK,479
66,TN,981
66,WV,317
66,AZ,985
66,CO,804
66,ID,228
66,MT,191
66,NV,387
66,NM,291
66,UT,290
66,WY,89
66,CA,4659
66,OR,700
66,WA,1160
66,AK,96
66,HI,229
67,CT,441
67,ME,245
67,MA,934
67,NH,215
67,RI,161
67,VT,108
67,DE,144
67,NJ,1134
67,NY,2587
67,PA,1893
67,IL,1666
67,IN,877
67,MI,1516
67,OH,1628
67,WI,877
67,IA,479
67,KS,422
67,MN,808
67,MO,824
67,NE,256
67,ND,102
67,SD,120
67,VA,1071
67,AL,690
67,AR,393
67,FL,3111
67,GA,1251
67,LA,595
67,MS,401
67,NC,1435
67,SC,721
67,TX,3047
67,KY,649
67,MD,834
67,OK,423
67,TN,944
67,WV,281
67,AZ,985
67,CO,723
67,ID,253
67,MT,187
67,NV,403
67,NM,300
67,UT,279
67,WY,87
67,CA,4472
67,OR,655
67,WA,1007
67,AK,76
67,HI,194
68,CT,482
68,ME,231
68,MA,875
68,NH,209
68,RI,135
68,VT,115
68,DE,146
68,NJ,1072
68,NY,2471
68,PA,1789
68,IL,1609
68,IN,816
68,MI,1450
68,OH,1606
68,WI,859
68,IA,429
68,KS,395
68,MN,750
68,MO,813
68,NE,284
68,ND,103
68,SD,117
68,VA,1051
68,AL,646
68,AR,414
68,FL,3028
68,GA,1239
68,LA,633
68,MS,379
68,NC,1384
68,SC,702
68,TX,3129
68,KY,611
68,MD,701
68,OK,428
68,TN,885
68,WV,296
68,AZ,905
68,CO,677
68,ID,190
68,MT,169
68,NV,382
68,NM,270
68,UT,270
68,WY,95
68,CA,4363
68,OR,621
68,WA,905
68,AK,77
68,HI,188
69,CT,419
69,ME,193
69,MA,892
69,NH,188
69,RI,143
69,VT,92
69,DE,148
69,NJ,1064
69,NY,2338
69,PA,1755
69,IL,1506
69,IN,795
69,MI,1301
69,OH,1497
69,WI,789
69,IA,384
69,KS,350
69,MN,714
69,MO,741
69,NE,241
69,ND,89
69,SD,121
69,VA,999
69,AL,705
69,AR,382
69,FL,3009
69,GA,1135
69,LA,563
69,MS,368
69,NC,1468
69,SC,695
69,TX,2860
69,KY,528
69,MD,685
69,OK,434
69,TN,819
69,WV,342
69,AZ,997
69,CO,675
69,ID,210
69,MT,161
69,NV,360
69,NM,337
69,UT,271
69,WY,90
69,CA,4069
69,OR,629
69,WA,953
69,AK,46
69,HI,168
70,CT,412
70,ME,230
70,MA,826
70,NH,184
70,RI,129
70,VT,100
70,DE,138
70,NJ,981
70,NY,2227
70,PA,1649
70,IL,1424
70,IN,823
70,MI,1314
70,OH,1413
70,WI,797
70,IA,381
70,KS,340
70,MN,748
70,MO,761
70,NE,212
70,ND,100
70,SD,98
70,VA,994
70,AL,667
70,AR,413
70,FL,3072
70,GA,1195
70,LA,573
70,MS,355
70,NC,1311
70,SC,760
70,TX,2757
70,KY,552
70,MD,668
70,OK,395
70,TN,840
70,WV,295
70,AZ,920
70,CO,635
70,ID,204
70,MT,144
70,NV,395
70,NM,270
70,UT,259
70,WY,82
70,CA,4041
70,OR,577
70,WA,871
70,AK,55
70,HI,205
71,CT,444
71,ME,245
71,MA,862
71,NH,197
71,RI,107
71,VT,114
71,DE,152
71,NJ,1077
71,NY,2399
71,PA,1775
71,IL,1413
71,IN,759
71,MI,1293
71,OH,1461
71,WI,749
71,IA,350
71,KS,327
71,MN,639
71,MO,760
71,NE,212
71,ND,87
71,SD,104
71,VA,914
71,AL,617
71,AR,385
71,FL,3101
71,GA,1212
71,LA,549
71,MS,370
71,NC,1376
71,SC,719
71,TX,2904
71,KY,591
71,MD,715
71,OK,452
71,TN,852
71,WV,289
71,AZ,982
71,CO,671
71,ID,187
71,MT,168
71,NV,393
71,NM,282
71,UT,270
71,WY,86
71,CA,4055
71,OR,543
71,WA,942
71,AK,64
71,HI,172
72,CT,448
72,ME,226
72,MA,905
72,NH,187
72,RI,136
72,VT,95
72,DE,170
72,NJ,1053
72,NY,2390
72,PA,1782
72,IL,1493
72,IN,823
72,MI,1290
72,OH,1488
72,WI,785
72,IA,378
72,KS,311
72,MN,695
72,MO,835
72,NE,191
72,ND,94
72,SD,103
72,VA,967
72,AL,726
72,AR,416
72,FL,3109
72,GA,1151
72,LA,531
72,MS,413
72,NC,1371
72,SC,750
72,TX,2763
72,KY,586
72,MD,743
72,OK,421
72,TN,864
72,WV,262
72,AZ,958
72,CO,628
72,ID,199
72,MT,138
72,NV,391
72,NM,221
72,UT,254
72,WY,57
72,CA,3939
72,OR,626
72,WA,986
72,AK,58
72,HI,160
73,CT,346
73,ME,137
73,MA,683
73,NH,136
73,RI,97
73,VT,75
73,DE,108
73,NJ,822
73,NY,1837
73,PA,1246
73,IL,1151
73,IN,570
73,MI,938
73,OH,1070
73,WI,561
73,IA,280
73,KS,246
73,MN,489
73,MO,656
73,NE,165
73,ND,65
73,SD,74
73,VA,726
73,AL,482
73,AR,314
73,FL,2515
73,GA,959
73,LA,383
73,MS,264
73,NC,1039
73,SC,566
73,TX,2251
73,KY,426
73,MD,578
73,OK,351
73,TN,663
73,WV,185
73,AZ,757
73,CO,495
73,ID,161
73,MT,122
73,NV,299
73,NM,242
73,UT,204
73,WY,48
73,CA,3266
73,OR,395
73,WA,707
73,AK,53
73,HI,147
74,CT,350
74,ME,116
74,MA,579
74,NH,131
74,RI,108
74,VT,77
74,DE,107
74,NJ,761
74,NY,1668
74,PA,1171
74,IL,1013
74,IN,581
74,MI,900
74,OH,1034
74,WI,538
74,IA,279
74,KS,235
74,MN,524
74,MO,599
74,NE,172
74,ND,66
74,SD,69
74,VA,651
74,AL,489
74,AR,320
74,FL,2399
74,GA,865
74,LA,406
74,MS,283
74,NC,985
74,SC,522
74,TX,2040
74,KY,369
74,MD,531
74,OK,320
74,TN,684
74,WV,171
74,AZ,736
74,CO,457
74,ID,126
74,MT,111
74,NV,269
74,NM,203
74,UT,186
74,WY,50
74,CA,2924
74,OR,391
74,WA,643
74,AK,39
74,HI,142
75,CT,294
75,ME,172
75,MA,599
75,NH,125
75,RI,119
75,VT,71
75,DE,109
75,NJ,749
75,NY,1696
75,PA,1131
75,IL,1021
75,IN,555
75,MI,945
75,OH,982
75,WI,555
75,IA,312
75,KS,263
75,MN,500
75,MO,615
75,NE,156
75,ND,62
75,SD,72
75,VA,689
75,AL,447
75,AR,272
75,FL,2289
75,GA,803
75,LA,351
75,MS,276
75,NC,939
75,SC,487
75,TX,2101
75,KY,410
75,MD,494
75,OK,349
75,TN,579
75,WV,200
75,AZ,733
75,CO,451
75,ID,153
75,MT,102
75,NV,266
75,NM,193
75,UT,199
75,WY,56
75,CA,2812
75,OR,388
75,WA,666
75,AK,42
75,HI,146
76,CT,365
76,ME,146
76,MA,620
76,NH,144
76,RI,102
76,VT,69
76,DE,122
76,NJ,782
76,NY,1710
76,PA,1218
76,IL,1052
76,IN,549
76,MI,942
76,OH,1048
76,WI,513
76,IA,285
76,KS,273
76,MN,482
76,MO,549
76,NE,164
76,ND,57
76,SD,69
76,VA,694
76,AL,473
76,AR,299
76,FL,2335
76,GA,872
76,LA,401
76,MS,267
76,NC,978
76,SC,546
76,TX,1966
76,KY,407
76,MD,547
76,OK,282
76,TN,628
76,WV,186
76,AZ,719
76,CO,429
76,ID,170
76,MT,97
76,NV,267
76,NM,163
76,UT,182
76,WY,46
76,CA,2808
76,OR,377
76,WA,663
76,AK,38
76,HI,133
77,CT,295
77,ME,133
77,MA,498
77,NH,98
77,RI,80
77,VT,49
77,DE,97
77,NJ,687
77,NY,1465
77,PA,1059
77,IL,951
77,IN,503
77,MI,853
77,OH,994
77,WI,465
77,IA,233
77,KS,205
77,MN,441
77,MO,500
77,NE,139
77,ND,55
77,SD,52
77,VA,602
77,AL,382
77,AR,267
77,FL,2039
77,GA,732
77,LA,322
77,MS,241
77,NC,826
77,SC,440
77,TX,1788
77,KY,350
77,MD,435
77,OK,239
77,TN,549
77,WV,159
77,AZ,613
77,CO,324
77,ID,119
77,MT,114
77,NV,213
77,NM,161
77,UT,152
77,WY,47
77,CA,2467
77,OR,340
77,WA,533
77,AK,25
77,HI,104
78,CT,274
78,ME,103
78,MA,421
78,NH,113
78,RI,85
78,VT,52
78,DE,92
78,NJ,582
78,NY,1270
78,PA,950
78,IL,808
78,IN,461
78,MI,700
78,OH,867
78,WI,413
78,IA,254
78,KS,190
78,MN,404
78,MO,482
78,NE,121
78,ND,60
78,SD,50
78,VA,588
78,AL,372
78,AR,243
78,FL,1867
78,GA,641
78,LA,317
78,MS,230
78,NC,719
78,SC,393
78,TX,1557
78,KY,302
78,MD,393
78,OK,236
78,TN,548
78,WV,143
78,AZ,574
78,CO,313
78,ID,120
78,MT,77
78,NV,210
78,NM,146
78,UT,137
78,WY,53
78,CA,2171
78,OR,309
78,WA,453
78,AK,25
78,HI,103
79,CT,234
79,ME,103
79,MA,387
79,NH,114
79,RI,66
79,VT,40
79,DE,65
79,NJ,502
79,NY,1167
79,PA,826
79,IL,735
79,IN,397
79,MI,671
79,OH,740
79,WI,413
79,IA,255
79,KS,212
79,MN,337
79,MO,439
79,NE,133
79,ND,46
79,SD,59
79,VA,483
79,AL,329
79,AR,229
79,FL,1644
79,GA,538
79,LA,331
79,MS,191
79,NC,681
79,SC,337
79,TX,1486
79,KY,285
79,MD,368
79,OK,236
79,TN,482
79,WV,141
79,AZ,513
79,CO,267
79,ID,135
79,MT,77
79,NV,170
79,NM,133
79,UT,133
79,WY,32
79,CA,2075
79,OR,289
79,WA,431
79,AK,33
79,HI,74
80,CT,191
80,ME,102
80,MA,368
80,NH,95
80,RI,63
80,VT,54
80,DE,80
80,NJ,485
80,NY,1095
80,PA,841
80,IL,698
80,IN,403
80,MI,616
80,OH,737
80,WI,345
80,IA,218
80,KS,174
80,MN,358
80,MO,404
80,NE,128
80,ND,43
80,SD,74
80,VA,468
80,AL,375
80,AR,196
80,FL,1602
80,GA,511
80,LA,269
80,MS,191
80,NC,637
80,SC,333
80,TX,1373
80,KY,262
80,MD,321
80,OK,225
80,TN,384
80,WV,123
80,AZ,437
80,CO,241
80,ID,116
80,MT,78
80,NV,147
80,NM,134
80,UT,113
80,WY,32
80,CA,1945
80,OR,250
80,WA,408
80,AK,29
80,HI,75
81,CT,181
81,ME,84
81,MA,344
81,NH,89
81,RI,62
81,VT,44
81,DE,51
81,NJ,468
81,NY,1110
81,PA,814
81,IL,656
81,IN,369
81,MI,582
81,OH,660
81,WI,373
81,IA,189
81,KS,156
81,MN,323
81,MO,355
81,NE,111
81,ND,54
81,SD,51
81,VA,456
81,AL,312
81,AR,172
81,FL,1551
81,GA,492
81,LA,250
81,MS,167
81,NC,557
81,SC,288
81,TX,1285
81,KY,268
81,MD,333
81,OK,189
81,TN,430
81,WV,117
81,AZ,460
81,CO,240
81,ID,94
81,MT,73
81,NV,148
81,NM,97
81,UT,117
81,WY,37
81,CA,1875
81,OR,217
81,WA,408
81,AK,25
81,HI,109
82,CT,186
82,ME,98
82,MA,394
82,NH,66
82,RI,66
82,VT,26
82,DE,55
82,NJ,413
82,NY,997
82,PA,733
82,IL,646
82,IN,313
82,MI,497
82,OH,629
82,WI,328
82,IA,166
82,KS,142
82,MN,268
82,MO,357
82,NE,118
82,ND,33
82,SD,51
82,VA,397
82,AL,250
82,AR,146
82,FL,1387
82,GA,436
82,LA,231
82,MS,149
82,NC,529
82,SC,240
82,TX,1135
82,KY,198
82,MD,254
82,OK,181
82,TN,348
82,WV,111
82,AZ,384
82,CO,234
82,ID,95
82,MT,55
82,NV,163
82,NM,107
82,UT,102
82,WY,34
82,CA,1621
82,OR,221
82,WA,346
82,AK,28
82,HI,39
83,CT,187
83,ME,77
83,MA,314
83,NH,42
83,RI,52
83,VT,30
83,DE,49
83,NJ,417
83,NY,860
83,PA,647
83,IL,573
83,IN,300
83,MI,491
83,OH,596
83,WI,270
83,IA,199
83,KS,157
83,MN,247
83,MO,299
83,NE,111
83,ND,47
83,SD,42
83,VA,346
83,AL,262
83,AR,143
83,FL,1233
83,GA,390
83,LA,187
83,MS,124
83,NC,449
83,SC,226
83,TX,1107
83,KY,214
83,MD,258
83,OK,185
83,TN,316
83,WV,76
83,AZ,318
83,CO,199
83,ID,76
83,MT,53
83,NV,120
83,NM,88
83,UT,100
83,WY,27
83,CA,1633
83,OR,209
83,WA,323
83,AK,19
83,HI,70
84,CT,154
84,ME,74
84,MA,288
84,NH,56
84,RI,55
84,VT,19
84,DE,41
84,NJ,364
84,NY,851
84,PA,592
84,IL,519
84,IN,274
84,MI,477
84,OH,525
84,WI,260
84,IA,189
84,KS,151
84,MN,258
84,MO,287
84,NE,69
84,ND,42
84,SD,32
84,VA,356
84,AL,246
84,AR,134
84,FL,1084
84,GA,359
84,LA,201
84,MS,144
84,NC,444
84,SC,247
84,TX,1001
84,KY,185
84,MD,242
84,OK,166
84,TN,289
84,WV,94
84,AZ,308
84,CO,178
84,ID,72
84,MT,51
84,NV,105
84,NM,83
84,UT,85
84,WY,23
84,CA,1380
84,OR,182
84,WA,274
84,AK,21
84,HI,58
85,CT,178
85,ME,49
85,MA,223
85,NH,60
85,RI,48
85,VT,19
85,DE,42
85,NJ,314
85,NY,765
85,PA,535
85,IL,468
85,IN,245
85,MI,374
85,OH,466
85,WI,251
85,IA,131
85,KS,129
85,MN,222
85,MO,257
85,NE,73
85,ND,36
85,SD,39
85,VA,276
85,AL,195
85,AR,139
85,FL,1024
85,GA,339
85,LA,167
85,MS,108
85,NC,386
85,SC,198
85,TX,886
85,KY,186
85,MD,196
85,OK,122
85,TN,228
85,WV,77
85,AZ,273
85,CO,151
85,ID,57
85,MT,38
85,NV,92
85,NM,75
85,UT,84
85,WY,15
85,CA,1295
85,OR,142
85,WA,235
85,AK,13
85,HI,61
86,CT,132
86,ME,62
86,MA,252
86,NH,60
86,RI,40
86,VT,29
86,DE,19
86,NJ,330
86,NY,745
86,PA,487
86,IL,430
86,IN,259
86,MI,370
86,OH,451
86,WI,214
86,IA,153
86,KS,115
86,MN,187
86,MO,232
86,NE,73
86,ND,35
86,SD,29
86,VA,265
86,AL,175
86,AR,123
86,FL,994
86,GA,287
86,LA,146
86,MS,86
86,NC,304
86,SC,183
86,TX,769
86,KY,153
86,MD,204
86,OK,126
86,TN,218
86,WV,76
86,AZ,233
86,CO,153
86,ID,59
86,MT,39
86,NV,88
86,NM,79
86,UT,65
86,WY,14
86,CA,1185
86,OR,146
86,WA,234
86,AK,17
86,HI,55
87,CT,139
87,ME,63
87,MA,231
87,NH,58
87,RI,43
87,VT,27
87,DE,41
87,NJ,332
87,NY,665
87,PA,465
87,IL,399
87,IN,193
87,MI,344
87,OH,376
87,WI,205
87,IA,127
87,KS,104
87,MN,208
87,MO,205
87,NE,89
87,ND,33
87,SD,42
87,VA,265
87,AL,133
87,AR,100
87,FL,825
87,GA,276
87,LA,138
87,MS,100
87,NC,298
87,SC,148
87,TX,723
87,KY,127
87,MD,188
87,OK,138
87,TN,190
87,WV,81
87,AZ,222
87,CO,167
87,ID,51
87,MT,36
87,NV,60
87,NM,70
87,UT,67
87,WY,15
87,CA,1115
87,OR,130
87,WA,232
87,AK,6
87,HI,62
88,CT,114
88,ME,69
88,MA,209
88,NH,33
88,RI,44
88,VT,28
88,DE,34
88,NJ,279
88,NY,593
88,PA,444
88,IL,363
88,IN,173
88,MI,297
88,OH,432
88,WI,188
88,IA,121
88,KS,106
88,MN,178
88,MO,212
88,NE,72
88,ND,26
88,SD,27
88,VA,231
88,AL,128
88,AR,85
88,FL,794
88,GA,233
88,LA,104
88,MS,74
88,NC,260
88,SC,123
88,TX,614
88,KY,137
88,MD,191
88,OK,99
88,TN,172
88,WV,56
88,AZ,215
88,CO,145
88,ID,57
88,MT,40
88,NV,69
88,NM,63
88,UT,54
88,WY,16
88,CA,1034
88,OR,112
88,WA,212
88,AK,14
88,HI,48
89,CT,123
89,ME,50
89,MA,214
89,NH,47
89,RI,32
89,VT,19
89,DE,24
89,NJ,251
89,NY,577
89,PA,414
89,IL,365
89,IN,160
89,MI,220
89,OH,342
89,WI,154
89,IA,98
89,KS,102
89,MN,148
89,MO,177
89,NE,58
89,ND,21
89,SD,31
89,VA,207
89,AL,109
89,AR,67
89,FL,684
89,GA,189
89,LA,104
89,MS,67
89,NC,261
89,SC,99
89,TX,566
89,KY,148
89,MD,131
89,OK,89
89,TN,160
89,WV,57
89,AZ,196
89,CO,112
89,ID,53
89,MT,22
89,NV,54
89,NM,47
89,UT,43
89,WY,22
89,CA,961
89,OR,95
89,WA,162
89,HI,44
90,CT,100
90,ME,25
90,MA,176
90,NH,36
90,RI,31
90,VT,6
90,DE,19
90,NJ,246
90,NY,496
90,PA,334
90,IL,326
90,IN,157
90,MI,210
90,OH,320
90,WI,128
90,IA,97
90,KS,74
90,MN,166
90,MO,162
90,NE,59
90,ND,18
90,SD,21
90,VA,167
90,AL,110
90,AR,52
90,FL,577
90,LA,79
90,MS,57
90,NC,218
90,SC,96
90,KY,97
90,MD,135
90,OK,71
90,TN,125
90,WV,46
90,AZ,127
90,CO,94
90,ID,40
90,MT,23
90,NV,45
90,NM,32
90,WY,9
90,CA,789
90,OR,96
90,WA,146
90,HI,40
92,CT,81
92,MA,101
92,NH,25
92,RI,19
92,VT,10
92,NJ,143
92,NY,359
92,PA,276
92,OH,207
92,WI,90
92,IA,77
92,KS,64
92,NE,36
92,ND,14
92,SD,29
92,FL,455
92,OR,77
92,AK,43
92,HI,37
93,CT,51
93,RI,23
93,DE,100
93,ND,8
93,GA,826
93,TX,2239
93,UT,188
93,HI,46
94,ME,110
94,AL,360
94,LA,340
94,MS,229
94,SC,392
94,KY,344
94,TN,503
94,AZ,555
94,CO,390
94,NV,159
94,WY,43
95,VT,39
95,NJ,645
95,PA,912
95,IL,986
95,IN,475
95,MI,729
95,WI,362
95,MN,498
95,MO,488
95,VA,492
95,AR,217
95,NC,705
95,MD,438
95,OK,231
95,WV,133
95,ID,116
95,MT,67
95,NM,157
95,CA,2915
95,WA,614
96,MA,526
96,NH,83
96,RI,76
96,NY,1293
96,OH,741
96,IA,273
96,KS,211
96,NE,133
96,ND,47
96,SD,69
96,FL,1448
96,OR,289
97,CT,244
97,HI,110
